time,tavg,tmin,tmax,prcp
1990-02-27,29.4,24.7,33.8,0.0
1990-02-28,29.4,24.9,34.4,0.0
1990-03-01,28.1,24.1,33.5,0.0
1990-03-02,27.9,23.8,32.9,0.0
1990-03-03,29.9,24.7,35.8,0.0
1990-03-04,28.7,25.3,33.3,0.0
1990-03-05,29.0,25.9,35.4,0.0
1990-03-06,28.3,25.9,32.0,0.0
1990-03-07,29.1,25.9,35.1,0.0
1990-03-08,28.6,26.0,35.0,0.0
1990-03-09,27.6,25.2,32.4,0.0
1990-03-10,27.2,24.4,29.8,0.0
1990-03-11,26.3,23.5,30.7,0.0
1990-03-12,27.7,24.4,32.1,0.0
1990-03-13,28.8,24.5,34.4,0.0
1990-03-14,29.3,26.0,35.1,0.0
1990-03-15,29.3,25.7,34.7,0.0
1990-03-16,28.3,24.8,33.55,0.0
1990-03-17,28.3,23.9,32.4,0.0
1990-03-18,27.6,23.8,32.2,0.0
1990-03-19,28.1,22.9,32.4,0.0
1990-03-20,28.6,23.8,33.2,0.0
1990-03-21,28.2,24.7,33.7,0.0
1990-03-22,28.4,24.3,34.0,0.0
1990-03-23,29.2,24.4,36.2,0.0
1990-03-24,30.3,21.2,36.6,0.0
1990-03-25,30.6,22.45,37.0,0.0
1990-03-26,29.8,23.7,37.4,0.0
1990-03-27,28.4,24.95,34.4,7.1
1990-03-28,29.9,26.2,35.1,0.0
1990-03-29,29.4,26.8,34.0,0.0
1990-03-30,28.9,25.5,33.3,0.0
1990-03-31,28.7,25.2,33.1,0.0
1990-04-01,28.9,24.8,34.0,0.0
1990-04-02,28.1,24.8,35.3,0.0
1990-04-03,29.3,26.6,35.15,0.0
1990-04-04,29.8,26.2,35.0,0.0
1990-04-05,30.1,26.1,35.5,0.0
1990-04-06,30.6,26.0,34.4,0.0
1990-04-07,29.8,26.0,33.3,0.0
1990-04-08,29.6,25.6,34.4,0.0
1990-04-09,29.8,26.3,35.75,0.0
1990-04-10,30.8,26.8,37.1,0.0
1990-04-11,31.4,26.6,36.9,0.0
1990-04-12,29.8,27.0,34.4,0.0
1990-04-13,30.5,26.2,35.7,0.0
1990-04-14,29.8,25.9,35.8,0.0
1990-04-15,30.6,26.1,34.4,0.0
1990-04-16,30.3,26.0,35.5,0.0
1990-04-17,30.2,26.6,34.6,0.0
1990-04-18,30.8,26.7,35.4,0.0
1990-04-19,32.3,26.5,39.6,0.0
1990-04-20,31.4,27.45,40.9,0.0
1990-04-21,32.8,28.4,40.7,0.0
1990-04-22,31.6,27.6,40.4,0.0
1990-04-23,31.4,26.8,39.4,0.0
1990-04-24,30.7,26.3,36.7,0.0
1990-04-25,29.8,26.5,38.3,0.0
1990-04-26,29.4,26.3,35.5,0.0
1990-04-27,29.9,26.5,35.4,0.0
1990-04-28,30.5,26.6,36.0,0.0
1990-04-29,31.0,26.9,35.9,0.0
1990-04-30,30.5,27.1,34.5,0.0
1990-05-01,30.3,27.3,34.6,0.0
1990-05-02,29.8,26.6,34.7,0.0
1990-05-03,30.3,25.7,35.0,0.0
1990-05-04,30.9,27.0,35.3,0.0
1990-05-05,30.6,26.5,34.5,0.0
1990-05-06,28.7,25.775,33.9,0.0
1990-05-07,25.8,25.05,29.3,31.2
1990-05-08,24.8,24.325000000000003,31.200000000000003,126.5
1990-05-09,29.8,23.6,33.1,6.4
1990-05-10,28.2,24.4,34.8,3.0
1990-05-11,28.7,25.2,31.3,0.0
1990-05-12,27.3,26.0,29.5,4.8
1990-05-13,29.8,25.4,34.3,3.8
1990-05-14,30.1,26.25,36.6,0.0
1990-05-15,31.6,27.1,38.6,0.0
1990-05-16,31.5,27.2,38.8,0.0
1990-05-17,31.7,27.1,39.0,0.0
